id,sex,age,info
1,Мужской,25,"Увлекается горным велоспортом, коллекционирует виниловые пластинки, любит играть в настольные игры. Повар."
2,Женский,34,"Посещает мастер-классы по гончарному делу, любит походы в горы, увлекается фотографией. Бухгалтер."
3,Мужской,42,"Играет в баскетбол, собирает старинные монеты, увлекается японской кухней. Инженер."
4,Женский,27,"Занимается йогой, посещает театры, интересуется флористикой. Маркетолог."
5,Мужской,31,"Занимается кроссфитом, увлекается астрономией, любит настольные стратегии. Программист."
6,Женский,29,"Пишет рассказы, участвует в кулинарных конкурсах, любит рисовать акварелью. Архитектор."
7,Мужской,36,"Занимается рыбалкой, коллекционирует модели самолётов, играет на гитаре. Электрик."
8,Женский,40,"Занимается верховой ездой, любит классическую музыку, интересуется астрологией. Менеджер по продажам."
9,Мужской,28,"Ходит в горные походы, увлекается барбекю, коллекционирует комиксы. Дизайнер."
10,Женский,33,"Любит вышивать крестиком, играет на фортепиано, изучает корейский язык. Переводчик."
11,Мужской,38,"Бегает марафоны, увлекается автомобилями, коллекционирует редкие ножи. Юрист."
12,Женский,26,"Любит кататься на коньках, увлекается скандинавской мифологией, пишет стихи. Психолог."
13,Мужской,45,"Занимается дайвингом, коллекционирует марки, интересуется кулинарией. Учитель."
14,Женский,32,"Увлекается садоводством, посещает выставки современного искусства, любит фотографировать природу. Биолог."
15,Мужской,30,"Занимается альпинизмом, играет в шахматы, коллекционирует фигурки супергероев. Аналитик."
16,Женский,35,"Проводит дегустации вин, занимается вязанием, любит исторические романы. Финансист."
17,Мужской,50,"Коллекционирует виниловые пластинки, играет в гольф, изучает историю Второй мировой. Врач."
18,Женский,23,"Занимается современными танцами, пишет картины маслом, увлекается киноискусством. Редактор."
19,Мужской,46,"Увлекается яхтингом, занимается кулинарией, коллекционирует модели машин. Геолог."
20,Женский,41,"Играет в теннис, любит фотографировать архитектуру, изучает французский язык. Менеджер по персоналу."
21,Мужской,39,"Занимается скалолазанием, пишет музыку, интересуется робототехникой. Экономист."
22,Женский,37,"Любит рисовать акрилом, занимается дайвингом, коллекционирует книги о путешествиях. Юрист."
23,Мужской,44,"Занимается настольным теннисом, интересуется микробиологией, любит смотреть фантастику. Фармацевт."
24,Женский,28,"Посещает оперные спектакли, занимается плаванием, увлекается гончарным делом. Архитектор."
25,Мужской,33,"Занимается страйкболом, коллекционирует комиксы Marvel, любит слушать джаз. Тестировщик."
26,Женский,24,"Участвует в театральных постановках, увлекается серфингом, любит астрономию. Дизайнер."
27,Мужской,29,"Увлекается 3D-моделированием, собирает радиоуправляемые модели, интересуется настольными RPG. Инженер."
28,Женский,46,"Любит садоводство, коллекционирует открытки, пишет поэзию. Бухгалтер."
29,Мужской,54,"Занимается гольфом, любит слушать классику, коллекционирует редкие монеты. Менеджер."
30,Женский,43,"Увлекается живописью, ходит на выставки, любит кулинарные эксперименты. Врач."
31,Мужской,48,"Занимается стрельбой из лука, коллекционирует антиквариат, любит рыбалку. Юрист."
32,Женский,26,"Любит вышивать бисером, занимается конным спортом, интересуется модой. Психолог."
33,Мужской,51,"Коллекционирует военные модели, любит охоту, играет на саксофоне. Архитектор."
34,Женский,39,"Участвует в кулинарных фестивалях, пишет рассказы, занимается танцами. Маркетолог."
35,Мужской,47,"Занимается автогонками, коллекционирует редкие вина, интересуется кулинарией. Финансист."
36,Женский,55,"Любит садоводство, занимается скандинавской ходьбой, коллекционирует фарфор. Биолог."
37,Мужской,41,"Увлекается плаванием, занимается исторической реконструкцией, пишет статьи о технике. Журналист."
38,Женский,44,"Занимается йогой, пишет маслом, интересуется архитектурой. Переводчик."
39,Мужской,35,"Занимается страйкболом, увлекается авиамоделизмом, изучает древнюю историю. Аналитик."
40,Женский,38,"Посещает театры, занимается фитнесом, коллекционирует украшения ручной работы. Менеджер."
41,Мужской,52,"Любит рыбалку, пишет рассказы, коллекционирует фотографии поездок. Учитель."
42,Женский,27,"Занимается скрапбукингом, увлекается флористикой, любит психологические фильмы. Психолог."
43,Мужской,49,"Занимается боевыми искусствами, коллекционирует старинные карты, играет в гольф. Геолог."
44,Женский,36,"Увлекается фотографией, занимается дайвингом, коллекционирует фарфор. Врач."
45,Мужской,32,"Занимается хоккеем, коллекционирует ножи, интересуется программированием. Инженер."
46,Женский,30,"Посещает кулинарные курсы, занимается скандинавской ходьбой, любит кинофестивали. Редактор."
47,Мужской,43,"Увлекается скалолазанием, коллекционирует автографы, пишет музыку. Архитектор."
48,Женский,48,"Любит путешествия, коллекционирует открытки, занимается керамикой. Бухгалтер."
49,Мужской,27,"Занимается парусным спортом, коллекционирует комиксы, интересуется астрофизикой. Программист."
50,Женский,31,"Посещает выставки, занимается бегом, увлекается поэзией. Маркетолог."
